"userid","userlocation","statusid","statustime","tweet"
"824359860976250880","Salt Lake City, UT","848668736600944640","2017-04-02 22:49:28","@VP @POTUS Yeah, I heard Trump was out of the White House again."
"824359860976250880","Salt Lake City, UT","848667553807310848","2017-04-02 22:44:46","@HouseGOP @POTUS #fakenews I get it now"
"14304553","Salt Lake City, Utah ","848664768101572608","2017-04-02 22:33:42","@realDonaldTrump Because endangering a good section of the country needs to be your legacy! Such a disgrace."
"14304553","Salt Lake City, Utah ","848664581933117441","2017-04-02 22:32:58","@realDonaldTrump Wow, you are seriously unhinged today, Donald."
"14304553","Salt Lake City, Utah ","848664409081749505","2017-04-02 22:32:17","@realDonaldTrump Can you just stop with the fake news nonsense? It is not Fake News - just things your ego cannot handle."
"480967183","Salt Lake City","848659974674800640","2017-04-02 22:14:39","@ascl098 @RandPaul @realDonaldTrump ACB tweets in favor of @POTUS disappeared   #twitter #shadowban ACB. @RealVinnieJames"
"818600797172682752","Utah","848658293144682496","2017-04-02 22:07:59","@SecondRanch @0099Susu @bigtimetigerfan @POTUS @USNavy I support McCain.  He is finally showing some fight against evil called Trump."
"818600797172682752","Utah","848657662057226240","2017-04-02 22:05:28","@POTUS @USNavy Another effing picture of you with a group of people.  Call this crap governing?  Ugly moron"
"818600797172682752","Utah","848657096799277056","2017-04-02 22:03:13","@realDonaldTrump @RepMarkMeadows @Jim_Jordan @Raul_Labrador You are truly a disgusting bully"
"1233021828","Salt Lake City, UT","848650664242589696","2017-04-02 21:37:40","@MozuDisposition @JonTronShow Trump is always right"
"186201340","Draper, Utah","848649505167638528","2017-04-02 21:33:03","@RandPaul @realDonaldTrump Ensure that any plan is applicable to congress and fed workers!"
"199489171","UTAH","848644160865292288","2017-04-02 21:11:49","@4evertrumper @mitchellvii @BarackObama Umm your POTUS is all of that.. have a good day, dumb ass"
"199489171","UTAH","848643305730564097","2017-04-02 21:08:25","@4evertrumper @mitchellvii @BarackObama @POTUS Oh and the others that did it never became POTUS.."
"199489171","UTAH","848643211736227840","2017-04-02 21:08:03","@4evertrumper @mitchellvii @BarackObama @POTUS Others went to jail for it too"
"17349290","salt lake city","848642923050565632","2017-04-02 21:06:54","@realDonaldTrump remember a few months ago when executive orders were the devil? stupid cunt"
"199489171","UTAH","848642897448587264","2017-04-02 21:06:48","@4evertrumper @mitchellvii @BarackObama As your POTUS stated ""who knew health insurance could be so difficult"" Man are u fucking serious"
"480967183","Salt Lake City","848642207145877504","2017-04-02 21:04:03","@SheriffClarke @realDonaldTrump  Yep they hate us and are out to get @POTUS"
"828341052268437505","Salt Lake City, UT","848640478979293184","2017-04-02 20:57:11","@SpeakerRyan Would @realDonaldTrump consider him a hero or brag about how easy it was for him to get a Purple Heart?!"
"775350028315398145","Washington State,utah,OHIO","848637513195413504","2017-04-02 20:45:24","@tedlieu @POTUS Lulu must take his que from MAO MAO...get a grip, we have a constitution, not a cadre...better get a definition of sedition."
"805434377945522177","Salt Lake City, UT","848636477101572097","2017-04-02 20:41:17","@VP @POTUS I lost mine you jack ass"
"19151102","Salt Lake City, Utah  USA","848634063690711040","2017-04-02 20:31:42","@DocTheMainMan @VicenteFoxQue @realDonaldTrump I meant 2/3 of the country hates him... my mistake.  #RESIST"
"27703958","Salt Lake City, Utah","848632694380662784","2017-04-02 20:26:15","@thekupcakekween @joepabike @Lele12593557 @EricTrump @realDonaldTrump Picture makes me sick!!!"
"199489171","UTAH","848632075099951104","2017-04-02 20:23:48","@USAniFarm2016 @mitchellvii @BarackObama So your okay he straight up robbed Americans with Trump University? Just ignore it.. as usual"
