"userid","userlocation","statusid","statustime","tweet"
"265394386","Payson, Utah","851523749048340480","2017-04-10 19:54:16","@TomiLahren I love his response and how thankful he was to our POTUS! #MAGA"
"7512002","Ogdenish Utah","851516950035308544","2017-04-10 19:27:15","@StalkingJ @realSheldonCrum @ColeLedford11 @POTUS Obama era brought my family peace and health insurance"
"3056608324","Utah","851516555024191488","2017-04-10 19:25:41","Idea - Take all of the Muslim refugees  that want 2 stay in the US, draft them into the military, have them go fight ISIS. @realDonaldTrump"
"7512002","Ogdenish Utah","851516361910112256","2017-04-10 19:24:55","@POTUS Stolen seat and nominated by an illegitimate president"
"700690703257460736","Salt Lake City, UT","851515442849923072","2017-04-10 19:21:16","@AP Ooh big surprise - unreal - trump is a warmonger - god help is all"
"761254719801004033","Utah, USA","851507436439486464","2017-04-10 18:49:27","@TheAn1meMan Probably Trump firing more missiles and the airport not letting anyone take off while they are in the air or something..."
"3165642036","Salt Lake City, UT","851502425085100033","2017-04-10 18:29:32","@realDonaldTrump @USNavy you Mr. President are going to start another war!"
"3837556572","Salt Lake City, UT","851499711315886080","2017-04-10 18:18:45","@CNN So more babies need to be gassed to get a response from @POTUS?"
"2597534192","Utah, USA","851497720674082816","2017-04-10 18:10:51","Sean Spicer, interjects his own interpretations of policy, defends the POTUS with idealistic statements of  POTUS feelings. Telepathy?"
"85442168","Utah, USA","851495391271022592","2017-04-10 18:01:35","@donaldsmolik A fair question, Donald. Please DM us so we can address and resolve this for you."
"2597534192","Utah, USA","851494948230766592","2017-04-10 17:59:50","Trump all of a sudden pictures of people being gasses effected him.  What about all the other atrocities of wars just ignored, making $$$$."
"62091263","Salt Lake City, UT","851494032702283776","2017-04-10 17:56:12","@AllisonCroghan Good clarification. I assumed by looking for a ""professional organizer"" you were looking to stage a Trump protest."
"2597534192","Utah, USA","851493350217662464","2017-04-10 17:53:29","Sean Spicer needs more educated vocabulary from, blown away by barrel bombs, he sounds like Trump wrote script."
"837394611106557953","Utah, USA","851491745195991040","2017-04-10 17:47:06","@WalshFreedom @mitchellreports LoL, news that trump lies about everything?"
"2275494277","Utah, USA","851491528178618369","2017-04-10 17:46:14","@MelSchra @Reince45 @WhiteHouse @POTUS Umm, it was Democrats who made up those rules."
"163745087","Utah, USA","851491330551234561","2017-04-10 17:45:27","@glennbeck @POTUS Absolutely YES, if we believe in following the constitution!"
"2275494277","Utah, USA","851490315685031937","2017-04-10 17:41:25","@jstickerbush @Reince45 @WhiteHouse @POTUS The rules were ""bent"" a long time ago by Reid and Biden."
"2275494277","Utah, USA","851490145215885313","2017-04-10 17:40:45","@Tedo7177 @Reince45 @POTUS Merricak Garland personally congratulated Justice Gorsuch.
I guess unlike you he knows the Constitution."
"2275494277","Utah, USA","851489725206728704","2017-04-10 17:39:05","@FingersUpforDT @Reince45 @POTUS So mature."
"351632502","Utah, USA","851488727792664577","2017-04-10 17:35:07","@BeauWillimon @realDonaldTrump And Trumpets are eating it up and treating him like the messiah. Explain that to me please"
"4904673955","Salt Lake City, UT","851482837941231616","2017-04-10 17:11:43","@ColeLedford11 @POTUS You realize that they have the option to not vote"
"4904673955","Salt Lake City, UT","851482533288001536","2017-04-10 17:10:30","@mskristinawong @POTUS Just like the democrats with federal judge appointments"
"351632502","Utah, USA","851482300881657860","2017-04-10 17:09:34","@AturIV @MuradGazdiev @CENTCOM @CT_operative Good job @realDonaldTrump the Russians are mocking the shit out of you and the country"
"1939206174","Salt Lake City Utah ","851478907916242944","2017-04-10 16:56:06","@realDonaldTrump you would have done more damage to that Syrian airfield, if you had just purchased it and ran it as a business."
"179607750","Tooele, Utah","851472453389869056","2017-04-10 16:30:27","@AnnCoulter OBAMA/HILLARY/DNC/DEMOCRAT SHADOW GOV STILL OPERATING! POTUS SHD ASSIGN BANNON TO I.D. &amp; FIRE ASAP! START W/KOSKENIN IN IRS!!"
"210192764","Utah","851471379123785728","2017-04-10 16:26:11","@TheRealZeRoY good man vote trump"
"830952052779945984","Monroe Utah ","851471100391301121","2017-04-10 16:25:04","@CSM9000 @POTUS Post your taxes for me to see."
"179607750","Tooele, Utah","851470133163769856","2017-04-10 16:21:13","@marthamaccallum SHADOW GOV SET UP BY OBAMA STILL IN PLACE! POTUS NEEDS TO ASSIGN BANNON TO I.D. &amp; FIRE ASAP! START WITH KOSKENIN IN IRS!!!"
"179607750","Tooele, Utah","851468910893211648","2017-04-10 16:16:22","@oreillyfactor SHADOW GOV STILL IN PLACE! POTUS NEEDS TO ASSIGN BANNON TO I.D. AND FIRE THEM ASAP! START WITH KOSKENIN IN THE IRS.FED EMPLS?"
"179607750","Tooele, Utah","851468263804424193","2017-04-10 16:13:48","@seanhannity TRUMP NEEDS TO APPOINT BANNON IN CHARGE OF I.D. OF SHADOW GOV LEFT BY OBAMA &amp; FIRE THEM ASAP! START WITH KOSKENIN IN IRS!!!"
"179607750","Tooele, Utah","851467718901604357","2017-04-10 16:11:38","@realDonaldTrump THIRD TIME: WHY ARE OBAMA APPOINTEES STILL IN GOVERNMENT? FIRE KOSKENIN FIRST, THEN GET BANNON TO I.D. THE SHADOW GOV/FIRE!"
"708851150133415936","Utah, of all places.","851466730899595265","2017-04-10 16:07:42","quick someone tell @united the white house is overbooked"
"2275494277","Utah, USA","851462203047907328","2017-04-10 15:49:43","@ColeLedford11 @POTUS Funny how Merrick Garland is not complaining by personally congratulated Justice For such."
"843879457991544833","Salt Lake City, UT","851459696187760640","2017-04-10 15:39:45","@ChuckGrassley Remember you have had meeting in scif and russian/trump what side are you on @funder"
"200739256","Wasatch front, Utah","851453606444191744","2017-04-10 15:15:33","@HuffingtonPost Opinions coming from a lobsided, foul mouth anti christ Judy do not matter! Get it libs? You are why trump is potus!"
