"userid","userlocation","statusid","statustime","tweet"
"12263542","New York","848670235234258945","2017-04-02 22:55:26","The Trump-Kushners are skiers. When will Americans once again operate the lifts of our great ski resorts."
"19674129","New York, USA","848670233518886912","2017-04-02 22:55:25","@kamilumin Sorry, but ""she is the establishment"" is not enough of a reason to now have fucking Trump as president."
"30052786","New York State","848670114543280131","2017-04-02 22:54:57","@Newsweek Did trump have a fart bubble for once in his life?"
"19674129","New York, USA","848670034696208384","2017-04-02 22:54:38","@chruskit Cool. Yeah. Definitely. Plenty of reasons that are well worth having Trump now as president.

Or?????????????"
"115056544","nyc","848670005675905024","2017-04-02 22:54:31","MSNBC  trump supporters are a joke"
"253257813","New York","848669972331200513","2017-04-02 22:54:23","@DeclarationUSA The craven obsequiousness of Trump supporters is really irritating and pathetic."
"81990798","Seattle-Palm Springs-New York","848669965007728640","2017-04-02 22:54:21","@realDonaldTrump Leaking is fine with you when illegally giving intelligence to #Nunes, or when involving Russian prostitutes. #TrumpRussia"
"602499898","Wall Street, New York","848669922817454081","2017-04-02 22:54:11","@POTUS well done majesty.. This scheme to continue to destroy the planet should free up land for trump buildings when the oceans evaporate"
"2947869461","NEW YORK ","848669816730906624","2017-04-02 22:53:46","#MSNBC TRUMP KID WALK TO SCHOOL"
"1381107576","New York, USA","848669605233033221","2017-04-02 22:52:56","@realDonaldTrump This is a FREE country and yet people were told DO IT OR ELSE. Many are not happy. (IF they are, let them keep it?)"
"19410634","Somewhere in New York State","848669442162733057","2017-04-02 22:52:17","Traitor-in-chief priorities in this order:
1. Twitter
2. The Trump Organization 
3. Golf
4. Russia 
5. Ivanka 
(President, see Number 11)"
"759038656761860096","New York, USA","848669384470020097","2017-04-02 22:52:03","Donald Trump because now before I will told you on The House Partistrates before. A.M. @GOP . Great idea when due name"
"2947869461","NEW YORK ","848668910786367490","2017-04-02 22:50:10","#MSNBC STUPID BLACK MAN SUPPORTING TRUMP."
"21752761","New York","848668745967054850","2017-04-02 22:49:31","@billmaher Trump crime family?  Are you fucking serious? Get over yourself you retard.  No wonder ratings are tanking."
"2947869461","NEW YORK ","848668712605495298","2017-04-02 22:49:23","#MSNBC MAN FIGHTING FOR NO MINIMUM WAGE. TRUMP HIRED MAN WHO WANTS ROBOTS INSTEAD OF PEOPLE"
"1381107576","New York, USA","848668607416598528","2017-04-02 22:48:58","@realDonaldTrump It will UN-ravel on its own and might be more effective? Then people will SEE the NEED and will be humiliated.Be READY/NEW."
"3314189176","New York, USA","848668552601141249","2017-04-02 22:48:45","@IndependentGms @run4pizzapie @MarkPygas @realDonaldTrump that is the issue."
"2796802743","New York, USA","848668495697125376","2017-04-02 22:48:31",".@realDonaldTrump Please #TakeTheMeeting with tribal leaders across the United States. The White House should be an open &amp; inclusive place."
"344788326","New York City ","848668470053150720","2017-04-02 22:48:25","@realDonaldTrump Hey, War Monger! Which one of your shitty kids will be on the front lines in North Korea? Thought so. #Coward"
"3314189176","New York, USA","848668443800985602","2017-04-02 22:48:19","@IndependentGms @run4pizzapie @MarkPygas @realDonaldTrump also the one with no evidence. Zip, zero, nada."
"1210646653","NYC / RVA","848668416928088069","2017-04-02 22:48:12","@yashar Time and time again people around Trump go down in flames because they thought they could latch on to him for safety."
"2720811","Upstate New York","848668290734071808","2017-04-02 22:47:42","hey! @realDonaldTrump @potus what are we doing to help in Columbia? The folks starving in South Sudan? Whatchagonnado? #RESIST #IMPEACH"
"37423274","New York, NY","848668271498756096","2017-04-02 22:47:38","Watching Trump supporters on MSNBC finding myself screaming at the TV. #notmypresident"
"1092446305","New York, New York","848668058264776706","2017-04-02 22:46:47","@HoylandEileen Typical trump supporter response literally contradicts the initial tweet"
"712927915","Brooklyn New York 718-942-7391","848667918657363968","2017-04-02 22:46:13","Federal Judge Rules President Trump Plausibly Incited Violence at Rally as Candidate"
"30924455","Midwest (New Yorker at heart)","848667801703395328","2017-04-02 22:45:46","@RJSzczerba @realDonaldTrump even his lies and coverups suck"
"812216028579201024","New York, ny","848667771227561984","2017-04-02 22:45:38","@AriMelber #thepoint do they not agree that he brings out the worst of the worst in people? Look @ the posts on trump supporters FB pages."
"712927915","Brooklyn New York 718-942-7391","848667739858374658","2017-04-02 22:45:31","Michael Flynn Underreported $150,000 in Income on White House Forms"
"24285353","NYC","848667704781406208","2017-04-02 22:45:22","@JoeNBC Sociopath @realDonaldTrump is the same as the one in the campaigns, but you decided to kiss up to him till the end!"
"1381107576","New York, USA","848667697550430214","2017-04-02 22:45:21","@realDonaldTrump There is blame ( someone or a few did it)and it MIGHT be another country and, YET IT CAN BE RIGHT UNDER OUR NOSES."
"30924455","Midwest (New Yorker at heart)","848667658274955267","2017-04-02 22:45:11","@realDonaldTrump oddly enough no one has been talking about the leakers. too bad"
"195826487","New York City","848667530159935489","2017-04-02 22:44:41","Pres Trump right in @FT that China has great influence over N Korea-&amp; that if Beijing does not do all it can it will not be good for anyone"
